History_ID,Client_ID,Type_Client,Transaction_ID,Credit_Amount,Payment_Amount,Outstanding_Balance,Interest_Rate,Payment_Status,Late_Payment_Fees,Transaction_Date,Payment_Due_Date,Last_Payment_Date,Credit_Score,Created_At
139b5b13-19f6-4a56-9ae3-1bee9d8819f2,1,Individual,1b0f67b1-f8a3-4c77-9a3d-c725a13171ec,37866.87,3233.83,18463.89,2.48,OVERDUE,369.28,2023-04-06,2023-05-06,2023-05-19,618,2025-05-15
bdf7eaad-6c2a-4309-85bd-7ea0e0f8331b,2,Individual,c604dafc-8a6d-47b7-8593-29d346a88d25,3042.94,274.02,1124.8,8.06,OVERDUE,22.5,2020-11-16,2020-12-16,2021-01-21,723,2025-05-15
b938f886-1953-4205-9588-06c10ec9b742,3,Individual,4b1398d5-cb36-47e6-b32e-1cbb7a34e5c3,24812.13,2278.17,6586.77,10.18,OVERDUE,131.74,2023-07-15,2023-08-14,2023-09-01,683,2025-05-15
acfc1335-7cb5-45e5-a1ac-4a27d879d841,4,Individual,563b0691-eeaa-44b9-94e3-adfb55fb60e5,18637.72,1614.03,2497.42,3.92,OVERDUE,49.95,2022-07-12,2022-08-11,2022-09-10,595,2025-05-15
a9300471-85ef-40e1-b442-a0aee8f0e69b,4,Individual,718a8cf5-4050-4e21-afe2-3fae6c17987d,46742.26,4038.14,42704.12,3.67,OVERDUE,854.08,2021-01-17,2021-02-16,2021-02-26,682,2025-05-15
95978f72-e001-4435-990b-f5e5466dc2e7,5,Individual,fe439096-8c0b-4792-8515-e3aaa3f7a031,3152.28,286.25,0.0,8.97,PAID,0.0,2021-10-07,2021-11-06,2021-11-14,393,2025-05-15
784cf55a-7447-4db7-899a-5aaf65a1699d,5,Individual,b12737a5-2dc6-4a16-8b7b-4c8708674a7c,7344.97,647.58,7344.97,5.8,OVERDUE,146.9,2024-05-11,2024-06-10,2024-07-03,461,2025-05-15
1a1e4893-819d-4e3c-bc72-02210a55e2fe,6,Individual,13404291-71ce-4796-b7df-974602581e62,39280.96,3441.99,8303.05,5.15,OVERDUE,166.06,2023-04-15,2023-05-15,2023-05-24,483,2025-05-15
06f2eff2-527b-4fc5-b3a4-413683fb9c54,7,Empresa,cb4da7cb-f188-4554-b1ef-d2e8ad2bc23a,47652.26,4231.52,13800.1,6.56,OVERDUE,276.0,2024-07-28,2024-08-27,2024-10-02,662,2025-05-15
c4ccaf52-48ff-4c1f-9232-3e7aaab288c7,8,Individual,e279ea48-2b88-4d42-81c5-0cf47f8ec5fd,27263.71,2495.08,4807.99,9.82,OVERDUE,96.16,2020-08-11,2020-09-10,2020-09-11,811,2025-05-15
dab46cac-75a0-4a4b-81d4-ba2f3fcec872,9,Individual,f55cf1ae-ec36-49bc-9f6b-ea2d558df042,34958.57,3060.33,34958.57,5.05,OVERDUE,699.17,2025-01-14,2025-02-13,2025-02-14,670,2025-05-15
5b380b3d-2686-489b-90ac-5bce4bd2d857,10,Empresa,79de16d4-26fd-4373-b555-8efebe5964b0,43263.09,3733.24,9663.93,3.55,OVERDUE,193.28,2025-03-02,2025-04-01,2025-03-29,748,2025-05-15
29daf144-ebbb-42a6-b80c-b01046bd0692,10,Empresa,2a125e25-9c00-47e5-b271-5d42d123ee90,26434.76,2379.79,19295.39,8.03,OVERDUE,385.91,2023-04-04,2023-05-04,2023-05-22,683,2025-05-15
aaec76f4-81e5-4efa-ac3c-051a9ce87506,11,Individual,50751e6d-0e88-4649-b123-3ebc1da1ad84,7161.0,651.35,0.0,9.15,PAID,0.0,2025-04-06,2025-05-06,2025-05-31,664,2025-05-15
3b7349b2-64bb-4fb6-b3d7-5cffc26facae,13,Individual,d613ddad-fd4f-4092-abbd-4dde35af15ac,46891.45,4330.03,46891.45,10.81,OVERDUE,937.83,2023-05-09,2023-06-08,2023-07-07,684,2025-05-15
6e2b53d9-f734-4802-9c48-33d3fb82f87d,14,Individual,0e2a182a-d317-4110-8552-86cf8598e543,47448.59,4094.02,39260.55,3.54,OVERDUE,785.21,2023-10-31,2023-11-30,2023-12-30,691,2025-05-15
cce23ac2-72d9-4510-a053-df9e5eb41e30,14,Individual,5874571b-b20c-40fc-a590-05fae693cbd6,15100.22,1318.5,12463.22,4.78,OVERDUE,249.26,2023-09-11,2023-10-11,2023-10-19,547,2025-05-15
a9784d60-c70e-4e10-9fa4-2b23d782fda5,15,Individual,39b20cf1-0eb3-461d-b8dc-a469313ac8e1,43066.27,3776.91,20404.81,5.24,OVERDUE,408.1,2024-04-29,2024-05-29,2024-05-28,483,2025-05-15
c853bf4f-95e5-4d00-8601-921a128ab5a6,16,Individual,b9eb5757-e5af-439d-97c4-6369e12690b0,39735.34,3592.41,7403.65,8.49,OVERDUE,148.07,2025-02-02,2025-03-04,2025-03-12,507,2025-05-15
3fa56330-39fd-44eb-acaa-7fa4e7d865c0,17,Individual,343272d2-4b19-426f-9002-21e8502b814f,45223.39,4003.4,25206.39,6.23,OVERDUE,504.13,2024-05-23,2024-06-22,2024-07-16,433,2025-05-15
6dbd54e5-ad9b-44f2-883c-48f2d046ac2f,17,Individual,118e639b-a527-44b0-9843-be16df1e721f,13605.2,1190.0,2895.2,4.96,OVERDUE,57.9,2023-01-21,2023-02-20,2023-02-24,476,2025-05-15
29bfcbb3-b5ee-4a18-9dff-1898f413a932,17,Individual,787b3c0a-f754-471b-a0e1-e47224b3ba36,16231.09,1383.02,1017.87,2.25,OVERDUE,20.36,2021-07-08,2021-08-07,2021-08-12,459,2025-05-15
55c1207e-a919-4b11-8004-a5fb3b92cbaa,19,Individual,ca8c3466-9457-46b6-a748-d88e3f57fa35,44845.62,3988.64,12936.5,6.73,OVERDUE,258.73,2025-04-05,2025-05-05,2025-06-12,560,2025-05-15
76d34577-4929-47e0-8240-375d2d60d9e2,20,Individual,40f62299-8d32-44db-b7c8-6c010b77ae37,8225.25,738.76,3053.93,7.78,OVERDUE,61.08,2023-06-26,2023-07-26,2023-07-23,782,2025-05-15
bbafedcb-c09a-49ac-9960-50359a9c8e9f,20,Individual,f3614a48-5d2e-447d-9163-58c1a50f1256,8948.69,779.21,6611.06,4.49,OVERDUE,132.22,2025-03-05,2025-04-04,2025-04-16,764,2025-05-15
